sgRNA	Gene	ctr	exp
Brd7_3	Brd7	550	357
Selp_1	Selp	7132	5841
Tgfbr1_4	Tgfbr1	12774	10840
Ugdh_2	Ugdh	3018	2634
Ltf_3	Ltf	3310	2638
Myt1_3	Myt1	4799	4251
Pm20d2_3	Pm20d2	6881	5669
Actg1_1	Actg1	5212	4196
Dok1_1	Dok1	4627	3711
Csf1r_5	Csf1r	5562	4518
Jarid2_2	Jarid2	1448	1259
Sugt1_2	Sugt1	1863	1559
Eomes_4	Eomes	6432	4911
Hand2_3	Hand2	3892	3524
Psmd14_4	Psmd14	1484	1187
Stoml2_4	Stoml2	1777	1749
Cactin_2	Cactin	2119	2036
Dst_1	Dst	2279	2259
Meiob_1	Meiob	4414	4125
Cdca7l_4	Cdca7l	3059	3091
Traf7_4	Traf7	2944	2470
Gbx1_2	Gbx1	6249	4385
Sik2_2	Sik2	5647	4643
Zc3h8_3	Zc3h8	5431	4744
Clcn2_5	Clcn2	1165	937
Pop7_1	Pop7	665	546
Ice1_3	Ice1	440	679
Spic_3	Spic	1193	887
Zfp639_3	Zfp639	2089	1694
Ei24_4	Ei24	1631	1598
Hint1_1	Hint1	2845	2290
Nudt9_2	Nudt9	5572	5134
Vdr_4	Vdr	7128	5856
Hrh2_2	Hrh2	6360	5119
Gnpda1_5	Gnpda1	2660	2047
Phf20_1	Phf20	1579	1264
Tceal1_1	Tceal1	4039	3607
Myo16_3	Myo16	2391	1992
Psma7_1	Psma7	1407	1215
Papolb_3	Papolb	4118	3794
Usf2_4	Usf2	2287	2130
Nfyb_2	Nfyb	1129	1038
Eif4e2_3	Eif4e2	910	567
Mkx_3	Mkx	7091	5741
Poln_3	Poln	4300	3615
Scn2a1_1	Scn2a1	2459	2135
Stag3_3	Stag3	4814	4115
Pld4_3	Pld4	3321	2804
Med17_1	Med17	3815	2783
Elane_2	Elane	4179	3385
Coil_3	Coil	8355	6583
Ctbp2_2	Ctbp2	1466	1147
Foxc2_3	Foxc2	4151	3196
Klk1b22_3	Klk1b22	4995	4467
Arhgap39_4	Arhgap39	1860	1698
Dazap2_1	Dazap2	1086	755
Qprt_4	Qprt	12188	9897
Wbscr22_2	Wbscr22	660	605
Dhx9_5	Dhx9	2089	1258
Rad51d_1	Rad51d	908	606
Arid1b_2	Arid1b	3671	2436
Tbx21_1	Tbx21	1259	1546
Ppil3_2	Ppil3	7950	7506
Ccnb2_2	Ccnb2	895	894
Ube2v2_1	Ube2v2	2916	2659
Trip11_3	Trip11	3202	2638
Cyth3_5	Cyth3	2876	2182
Tfdp1_1	Tfdp1	228	246
Als2_3	Als2	3470	2539
Kcne1_5	Kcne1	1025	725
Kcnh2_2	Kcnh2	8553	7144
Cd2bp2_4	Cd2bp2	1337	1215
Zbtb38_3	Zbtb38	878	711
Fam193b_4	Fam193b	2727	2413
Sos1_1	Sos1	2991	2748
Zbed6_2	Zbed6	4697	4082
Sap30l_4	Sap30l	6153	5521
Lyzl4_2	Lyzl4	6317	5358
Kcnq5_4	Kcnq5	3585	3194
Cptp_4	Cptp	5300	4303
Gfi1_3	Gfi1	2102	1898
Vdac3_2	Vdac3	2722	2150
Hivep3_2	Hivep3	5581	5577
Zbtb32_4	Zbtb32	3124	2614
Hmgcl_3	Hmgcl	11438	9478
Rrp1_4	Rrp1	1287	1005
Pdcd5_3	Pdcd5	3070	3357
Gabrb1_2	Gabrb1	6528	5293
Dusp26_1	Dusp26	3199	2414
Phf10_1	Phf10	2023	1664
Sergef_3	Sergef	3139	2182
Zfp213_1	Zfp213	3510	3386
Ogfod1_1	Ogfod1	4639	3668
Pou4f3_4	Pou4f3	149	94
Cct4_2	Cct4	772	806
Zkscan1_2	Zkscan1	2881	2467
Zbtb14_2	Zbtb14	6596	6011
Usp4_1	Usp4	2277	2345
Prpf39_1	Prpf39	3100	2593
Arntl_2	Arntl	2372	1916
Nhlh2_3	Nhlh2	3508	3657
Cts7_3	Cts7	2813	2301
Npc1_2	Npc1	2379	1826
Rad51d_2	Rad51d	471	598
Zcchc9_3	Zcchc9	497	480
Zfr_3	Zfr	1318	1309
Sh2b1_3	Sh2b1	5148	4440
Mau2_2	Mau2	1177	992
Nr3c1_2	Nr3c1	10963	8815
Lonp1_1	Lonp1	627	414
Gatm_2	Gatm	5835	5636
Nup93_1	Nup93	1603	1523
Ropn1_2	Ropn1	999	770
Npat_2	Npat	544	542
Hpd_3	Hpd	6385	5122
Nt5c1b_3	Nt5c1b	5016	4135
Adra1a_1	Adra1a	3337	2938
Hspa5_4	Hspa5	395	212
Dip2b_3	Dip2b	5163	4258
Cast_1	Cast	4942	4003
Notch1_2	Notch1	4163	3304
Meox2_2	Meox2	11139	9837
Rc3h2_4	Rc3h2	9049	7769
Epha4_3	Epha4	6236	5583
Scn1a_1	Scn1a	7545	6680
F8_3	F8	3104	3333
Flii_3	Flii	2333	1918
Sult1a1_2	Sult1a1	3217	2722
Irx4_2	Irx4	2909	2394
Nr0b2_4	Nr0b2	3506	2933
Abcf1_3	Abcf1	449	508
Atf7_4	Atf7	3525	3015
Ndn_2	Ndn	2868	2568
Osbpl6_1	Osbpl6	3598	3075
Dpp4_2	Dpp4	2369	1839
Ceacam1_5	Ceacam1	8956	7658
Npas4_2	Npas4	3211	2684
Tnfrsf1b_2	Tnfrsf1b	4068	3403
Esco1_2	Esco1	549	397
Ldha_2	Ldha	788	609
Polr3d_4	Polr3d	732	584
Pak6_2	Pak6	2841	2042
Nfix_3	Nfix	5406	4216
Nop10_2	Nop10	2529	1909
Eif4a3_4	Eif4a3	944	651
Tmem43_2	Tmem43	2476	1993
Elf3_1	Elf3	6052	5427
Ing5_4	Ing5	1770	1694
Hnrnpa0_4	Hnrnpa0	2314	1901
Msi2_2	Msi2	929	752
Braf_1	Braf	1646	1233
Alppl2_4	Alppl2	6498	5600
Lmx1b_4	Lmx1b	13577	11134
Dhrs4_2	Dhrs4	6637	5753
Snip1_1	Snip1	2798	2265
Malt1_3	Malt1	5549	5207
Pla2g4c_4	Pla2g4c	3328	2734
Pde9a_3	Pde9a	3302	2951
Aurka_3	Aurka	6230	5358
Pik3r5_2	Pik3r5	3628	3535
Sp110_3	Sp110	349	481
